# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	6.304719e-02	2.142102e-02	-2.505975e-04	6.292190e-02	-6.317249e-02
1             	1.121800e+01	3.831268e+00	-2.714501e-01	1.108227e+01	-1.135372e+01
2             	1.171509e+01	4.048268e+00	-2.283095e-01	1.160094e+01	-1.182925e+01
3             	9.593588e+00	3.352636e+00	-1.462385e-01	9.520468e+00	-9.666707e+00
4             	7.568493e+00	2.671541e+00	-8.734063e-02	7.524823e+00	-7.612164e+00
5             	6.241272e+00	2.221193e+00	-4.316062e-02	6.219692e+00	-6.262852e+00
6             	5.601314e+00	2.001321e+00	-1.328397e-02	5.594672e+00	-5.607956e+00
7             	5.481079e+00	1.955313e+00	6.627143e-05	5.481112e+00	-5.481046e+00
8             	5.638600e+00	2.002953e+00	3.917606e-03	5.640559e+00	-5.636641e+00
9             	5.857190e+00	2.073715e+00	9.803723e-03	5.862092e+00	-5.852288e+00
10            	6.082850e+00	2.150947e+00	2.426692e-02	6.094983e+00	-6.070717e+00
11            	6.292301e+00	2.228524e+00	5.434662e-02	6.319474e+00	-6.265128e+00
12            	6.416433e+00	2.284708e+00	1.064703e-01	6.469668e+00	-6.363198e+00
13            	6.485933e+00	2.331501e+00	1.857258e-01	6.578796e+00	-6.393070e+00
14            	6.534749e+00	2.377380e+00	2.830764e-01	6.676287e+00	-6.393211e+00
15            	6.599246e+00	2.428693e+00	3.807248e-01	6.789609e+00	-6.408884e+00
16            	6.687985e+00	2.483695e+00	4.647121e-01	6.920341e+00	-6.455629e+00
17            	6.783111e+00	2.532839e+00	5.239683e-01	7.045095e+00	-6.521127e+00
18            	6.863403e+00	2.568304e+00	5.563510e-01	7.141579e+00	-6.585228e+00
19            	6.915452e+00	2.586939e+00	5.657271e-01	7.198315e+00	-6.632588e+00
20            	6.937122e+00	2.589466e+00	5.558065e-01	7.215025e+00	-6.659219e+00
21            	6.935781e+00	2.579338e+00	5.292572e-01	7.200410e+00	-6.671153e+00
22            	6.930364e+00	2.563280e+00	4.871517e-01	7.173939e+00	-6.686788e+00
23            	6.941050e+00	2.549434e+00	4.338200e-01	7.157960e+00	-6.724140e+00
24            	6.974293e+00	2.541496e+00	3.743103e-01	7.161448e+00	-6.787138e+00
25            	7.023175e+00	2.539180e+00	3.154847e-01	7.180917e+00	-6.865432e+00
26            	7.072773e+00	2.539272e+00	2.633251e-01	7.204435e+00	-6.941110e+00
27            	7.107776e+00	2.537866e+00	2.218935e-01	7.218723e+00	-6.996829e+00
28            	7.118999e+00	2.532462e+00	1.932925e-01	7.215645e+00	-7.022353e+00
29            	7.105821e+00	2.522215e+00	1.755677e-01	7.193605e+00	-7.018037e+00
30            	7.068030e+00	2.505910e+00	1.651227e-01	7.150592e+00	-6.985469e+00
31            	7.007708e+00	2.483336e+00	1.590465e-01	7.087231e+00	-6.928185e+00
32            	6.935430e+00	2.457789e+00	1.563321e-01	7.013596e+00	-6.857264e+00
33            	6.864255e+00	2.433245e+00	1.554933e-01	6.942002e+00	-6.786509e+00
