# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.420000e+00
# Aref        : 2.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	5.539411e-03	1.281850e-02	1.464170e-03	6.271497e-03	-4.807326e-03
1             	-2.467104e-01	3.355492e-01	-7.533167e-01	-6.233687e-01	-1.299480e-01
2             	-4.030176e-01	4.744210e-01	-1.161891e+00	-9.839630e-01	-1.779279e-01
3             	-4.836313e-01	5.335767e-01	-1.357725e+00	-1.162494e+00	-1.952313e-01
4             	-5.320364e-01	5.582961e-01	-1.465275e+00	-1.264674e+00	-2.006012e-01
5             	-5.694914e-01	5.718383e-01	-1.544683e+00	-1.341833e+00	-2.028502e-01
6             	-6.020007e-01	5.810546e-01	-1.611733e+00	-1.407867e+00	-2.038656e-01
7             	-6.295937e-01	5.865279e-01	-1.665751e+00	-1.462469e+00	-2.032820e-01
8             	-6.530506e-01	5.885081e-01	-1.708384e+00	-1.507243e+00	-2.011416e-01
9             	-6.725074e-01	5.880372e-01	-1.741102e+00	-1.543058e+00	-1.980433e-01
10            	-6.886610e-01	5.863230e-01	-1.766574e+00	-1.571948e+00	-1.946258e-01
11            	-7.013236e-01	5.842882e-01	-1.785781e+00	-1.594214e+00	-1.915671e-01
12            	-7.123990e-01	5.826657e-01	-1.802778e+00	-1.613788e+00	-1.889898e-01
13            	-7.221935e-01	5.814414e-01	-1.818137e+00	-1.631262e+00	-1.868750e-01
14            	-7.304612e-01	5.803272e-01	-1.831215e+00	-1.646069e+00	-1.851463e-01
15            	-7.379875e-01	5.794475e-01	-1.843379e+00	-1.659677e+00	-1.837017e-01
16            	-7.445057e-01	5.783531e-01	-1.853740e+00	-1.671376e+00	-1.823640e-01
17            	-7.497253e-01	5.769926e-01	-1.861725e+00	-1.680588e+00	-1.811370e-01
18            	-7.549935e-01	5.761404e-01	-1.870272e+00	-1.690129e+00	-1.801425e-01
19            	-7.597553e-01	5.753058e-01	-1.877961e+00	-1.698736e+00	-1.792250e-01
20            	-7.637056e-01	5.742216e-01	-1.883987e+00	-1.705699e+00	-1.782880e-01
21            	-7.671095e-01	5.730672e-01	-1.888957e+00	-1.711588e+00	-1.773692e-01
22            	-7.695899e-01	5.718463e-01	-1.892284e+00	-1.715732e+00	-1.765522e-01
23            	-7.721343e-01	5.708784e-01	-1.895879e+00	-1.720074e+00	-1.758051e-01
24            	-7.743695e-01	5.700329e-01	-1.899030e+00	-1.723884e+00	-1.751455e-01
25            	-7.762278e-01	5.692263e-01	-1.901546e+00	-1.727001e+00	-1.745452e-01
26            	-7.777528e-01	5.684070e-01	-1.903455e+00	-1.729480e+00	-1.739745e-01
27            	-7.790089e-01	5.676039e-01	-1.904893e+00	-1.731455e+00	-1.734376e-01
28            	-7.800941e-01	5.668500e-01	-1.906056e+00	-1.733122e+00	-1.729337e-01
29            	-7.810902e-01	5.661857e-01	-1.907115e+00	-1.734647e+00	-1.724671e-01
30            	-7.820244e-01	5.656199e-01	-1.908131e+00	-1.736090e+00	-1.720411e-01
31            	-7.827222e-01	5.652926e-01	-1.908984e+00	-1.737214e+00	-1.717699e-01
32            	-7.835064e-01	5.650185e-01	-1.910004e+00	-1.738508e+00	-1.714956e-01
33            	-7.841817e-01	5.648376e-01	-1.910929e+00	-1.739646e+00	-1.712828e-01
34            	-7.846466e-01	5.647289e-01	-1.911583e+00	-1.740438e+00	-1.711447e-01
35            	-7.848561e-01	5.646711e-01	-1.911872e+00	-1.740792e+00	-1.710797e-01
36            	-7.848378e-01	5.646438e-01	-1.911824e+00	-1.740750e+00	-1.710744e-01
37            	-7.846251e-01	5.646341e-01	-1.911476e+00	-1.740363e+00	-1.711129e-01
38            	-7.843186e-01	5.646393e-01	-1.910988e+00	-1.739813e+00	-1.711754e-01
39            	-7.840104e-01	5.646552e-01	-1.910502e+00	-1.739261e+00	-1.712404e-01
40            	-7.837755e-01	5.646676e-01	-1.910125e+00	-1.738838e+00	-1.712871e-01
41            	-7.836489e-01	5.646786e-01	-1.909916e+00	-1.738607e+00	-1.713092e-01
42            	-7.836528e-01	5.646867e-01	-1.909912e+00	-1.738609e+00	-1.713034e-01
43            	-7.837729e-01	5.647302e-01	-1.910131e+00	-1.738838e+00	-1.712924e-01
44            	-7.838410e-01	5.648321e-01	-1.910304e+00	-1.738993e+00	-1.713109e-01
45            	-7.843405e-01	5.649102e-01	-1.911170e+00	-1.739926e+00	-1.712445e-01
46            	-7.845257e-01	5.650139e-01	-1.911537e+00	-1.740294e+00	-1.712427e-01
47            	-7.848435e-01	5.651194e-01	-1.912131e+00	-1.740909e+00	-1.712222e-01
48            	-7.852597e-01	5.652639e-01	-1.912933e+00	-1.741726e+00	-1.712066e-01
49            	-7.857024e-01	5.654278e-01	-1.913809e+00	-1.742607e+00	-1.712020e-01
50            	-7.861128e-01	5.656178e-01	-1.914671e+00	-1.743449e+00	-1.712229e-01
51            	-7.864651e-01	5.658148e-01	-1.915460e+00	-1.744195e+00	-1.712650e-01
52            	-7.867394e-01	5.660311e-01	-1.916154e+00	-1.744816e+00	-1.713376e-01
53            	-7.869227e-01	5.662558e-01	-1.916717e+00	-1.745281e+00	-1.714356e-01
54            	-7.870077e-01	5.664941e-01	-1.917142e+00	-1.745579e+00	-1.715635e-01
55            	-7.869958e-01	5.667302e-01	-1.917412e+00	-1.745702e+00	-1.717104e-01
56            	-7.869071e-01	5.669543e-01	-1.917548e+00	-1.745681e+00	-1.718670e-01
57            	-7.867699e-01	5.671575e-01	-1.917580e+00	-1.745560e+00	-1.720202e-01
58            	-7.866176e-01	5.673516e-01	-1.917572e+00	-1.745404e+00	-1.721687e-01
59            	-7.864832e-01	5.675200e-01	-1.917559e+00	-1.745263e+00	-1.722964e-01
60            	-7.863954e-01	5.676747e-01	-1.917598e+00	-1.745194e+00	-1.724035e-01
61            	-7.863781e-01	5.678012e-01	-1.917711e+00	-1.745234e+00	-1.724774e-01
62            	-7.864476e-01	5.679195e-01	-1.917947e+00	-1.745421e+00	-1.725258e-01
63            	-7.866124e-01	5.680237e-01	-1.918315e+00	-1.745770e+00	-1.725451e-01
64            	-7.868454e-01	5.681209e-01	-1.918781e+00	-1.746236e+00	-1.725450e-01
65            	-7.871335e-01	5.682034e-01	-1.919316e+00	-1.746791e+00	-1.725244e-01
66            	-7.874580e-01	5.682845e-01	-1.919908e+00	-1.747412e+00	-1.724958e-01
67            	-7.877852e-01	5.683482e-01	-1.920486e+00	-1.748028e+00	-1.724578e-01
68            	-7.880965e-01	5.684138e-01	-1.921042e+00	-1.748617e+00	-1.724243e-01
69            	-7.883723e-01	5.684681e-01	-1.921530e+00	-1.749137e+00	-1.723925e-01
70            	-7.885956e-01	5.685274e-01	-1.921937e+00	-1.749564e+00	-1.723731e-01
71            	-7.887564e-01	5.685787e-01	-1.922236e+00	-1.749875e+00	-1.723617e-01
72            	-7.888498e-01	5.686339e-01	-1.922431e+00	-1.750065e+00	-1.723659e-01
73            	-7.888749e-01	5.686858e-01	-1.922515e+00	-1.750133e+00	-1.723828e-01
74            	-7.888459e-01	5.687462e-01	-1.922524e+00	-1.750108e+00	-1.724160e-01
75            	-7.887750e-01	5.687939e-01	-1.922456e+00	-1.750003e+00	-1.724529e-01
76            	-7.886674e-01	5.688434e-01	-1.922333e+00	-1.749834e+00	-1.724990e-01
77            	-7.885353e-01	5.688848e-01	-1.922165e+00	-1.749618e+00	-1.725470e-01
78            	-7.883879e-01	5.689296e-01	-1.921978e+00	-1.749377e+00	-1.726010e-01
79            	-7.882344e-01	5.689650e-01	-1.921774e+00	-1.749121e+00	-1.726526e-01
80            	-7.880826e-01	5.690027e-01	-1.921577e+00	-1.748871e+00	-1.727059e-01
81            	-7.879397e-01	5.690303e-01	-1.921385e+00	-1.748632e+00	-1.727530e-01
82            	-7.878096e-01	5.690559e-01	-1.921212e+00	-1.748416e+00	-1.727965e-01
83            	-7.876955e-01	5.690688e-01	-1.921051e+00	-1.748221e+00	-1.728301e-01
84            	-7.876000e-01	5.690779e-01	-1.920915e+00	-1.748057e+00	-1.728575e-01
85            	-7.875228e-01	5.690717e-01	-1.920791e+00	-1.747918e+00	-1.728725e-01
86            	-7.874599e-01	5.690649e-01	-1.920685e+00	-1.747803e+00	-1.728828e-01
87            	-7.874142e-01	5.690415e-01	-1.920589e+00	-1.747709e+00	-1.728801e-01
88            	-7.873821e-01	5.690221e-01	-1.920514e+00	-1.747639e+00	-1.728751e-01
89            	-7.873576e-01	5.689952e-01	-1.920443e+00	-1.747579e+00	-1.728638e-01
90            	-7.873379e-01	5.689660e-01	-1.920374e+00	-1.747525e+00	-1.728492e-01
91            	-7.873223e-01	5.689302e-01	-1.920304e+00	-1.747474e+00	-1.728296e-01
92            	-7.873103e-01	5.688947e-01	-1.920238e+00	-1.747429e+00	-1.728087e-01
93            	-7.873063e-01	5.689000e-01	-1.920235e+00	-1.747424e+00	-1.728111e-01
94            	-7.872968e-01	5.688277e-01	-1.920138e+00	-1.747366e+00	-1.727722e-01
95            	-7.872925e-01	5.687753e-01	-1.920067e+00	-1.747326e+00	-1.727411e-01
96            	-7.872899e-01	5.687774e-01	-1.920065e+00	-1.747322e+00	-1.727427e-01
97            	-7.872824e-01	5.687314e-01	-1.919985e+00	-1.747275e+00	-1.727101e-01
98            	-7.872782e-01	5.686906e-01	-1.919922e+00	-1.747239e+00	-1.726829e-01
99            	-7.872760e-01	5.686912e-01	-1.919920e+00	-1.747236e+00	-1.726839e-01
100           	-7.872676e-01	5.686578e-01	-1.919850e+00	-1.747193e+00	-1.726575e-01
101           	-7.872652e-01	5.686574e-01	-1.919846e+00	-1.747188e+00	-1.726579e-01
102           	-7.872575e-01	5.686528e-01	-1.919812e+00	-1.747163e+00	-1.726484e-01
