# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.235044e-03	2.297424e-02	7.450744e-04	9.607581e-03	-8.862506e-03
1             	5.658463e-01	1.333962e+00	-3.598316e-02	5.478548e-01	-5.838379e-01
2             	6.525668e-01	1.531743e+00	-5.124065e-02	6.269464e-01	-6.781871e-01
3             	5.759797e-01	1.348194e+00	-3.793535e-02	5.570120e-01	-5.949474e-01
4             	4.679200e-01	1.097465e+00	-2.758947e-02	4.541253e-01	-4.817147e-01
5             	3.798288e-01	8.957701e-01	-2.037848e-02	3.696395e-01	-3.900180e-01
6             	3.128791e-01	7.436080e-01	-8.833280e-03	3.084624e-01	-3.172957e-01
7             	2.652432e-01	6.356826e-01	1.599617e-03	2.660430e-01	-2.644434e-01
8             	2.323434e-01	5.628505e-01	7.780452e-03	2.362337e-01	-2.284532e-01
9             	2.107977e-01	5.162729e-01	1.170022e-02	2.166478e-01	-2.049476e-01
10            	1.962250e-01	4.862383e-01	1.474317e-02	2.035966e-01	-1.888534e-01
11            	1.866620e-01	4.665967e-01	1.825517e-02	1.957895e-01	-1.775344e-01
12            	1.807596e-01	4.535089e-01	2.306814e-02	1.922936e-01	-1.692255e-01
13            	1.777172e-01	4.452691e-01	2.847837e-02	1.919564e-01	-1.634780e-01
14            	1.771602e-01	4.412406e-01	3.450856e-02	1.944145e-01	-1.599060e-01
15            	1.777065e-01	4.386338e-01	4.040093e-02	1.979070e-01	-1.575061e-01
16            	1.780277e-01	4.356412e-01	4.616453e-02	2.011099e-01	-1.549454e-01
17            	1.782584e-01	4.331217e-01	5.053845e-02	2.035277e-01	-1.529892e-01
18            	1.786608e-01	4.316433e-01	5.277427e-02	2.050480e-01	-1.522737e-01
19            	1.790358e-01	4.304092e-01	5.333577e-02	2.057037e-01	-1.523679e-01
20            	1.793729e-01	4.295237e-01	5.232945e-02	2.055376e-01	-1.532082e-01
21            	1.797676e-01	4.293210e-01	5.028852e-02	2.049119e-01	-1.546234e-01
